asset,regime,n_trades,hit,ann_return,sharpe
S&P500,Bull,50,0.4,-0.010203567506025135,-0.20987065732236107
S&P500,Bear,56,0.32142857142857145,-0.022717191142117454,-0.15124825645665738
NASDAQ,Bull,59,0.423728813559322,0.008485040079625028,0.19365886280397457
NASDAQ,Bear,60,0.31666666666666665,-0.03349594211306772,-0.339063274416733
WTIoil,Bull,79,0.34177215189873417,-0.01320217421987302,-0.12730420611077653
WTIoil,Bear,84,0.2976190476190476,-0.02638251039583628,-0.14793024961635556
