asset,cost_bps_per_side,ann_return
S&P500,0,-0.03259509770351676
S&P500,1,-0.03428910505350369
S&P500,2,-0.0359804909439142
S&P500,5,-0.04103895506554445
S&P500,10,-0.04941762741515954
NASDAQ,0,-0.047532103025753836
NASDAQ,1,-0.04927246837606525
NASDAQ,2,-0.051010007552631964
NASDAQ,5,-0.056205708161342294
NASDAQ,10,-0.06480905943637083
WTIoil,0,0.016983137974833973
WTIoil,1,0.015579887539074466
WTIoil,2,0.01417828608910221
WTIoil,5,0.009983359658875868
WTIoil,10,0.00302464622084031
