asset,n_trades,ann_return,sharpe,max_dd
S&P500,106,-0.03268896225477669,-0.2182930718277937,-0.4557908833618983
NASDAQ,119,-0.025295116444777,-0.1997594196428654,-0.4126956975885264
WTIoil,163,-0.03923637811710601,-0.19300487586096732,-0.6284011996354117
